YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,CRS_DEP_TIME,CRS_ARR_TIME,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DISTANCE
2015,1,21,3,DL,14685,"Savannah, GA",10397,"Atlanta, GA",1825,1943,0,0,0,214
2015,1,21,3,DL,11433,"Detroit, MI",13487,"Minneapolis, MN",1345,1443,4,0,0,528
2015,1,21,3,DL,13930,"Chicago, IL",10397,"Atlanta, GA",700,1008,1,0,0,606
2015,1,21,3,DL,10397,"Atlanta, GA",14100,"Philadelphia, PA",725,925,0,0,0,666
2015,1,21,3,DL,14100,"Philadelphia, PA",10397,"Atlanta, GA",1015,1243,0,0,0,666
2015,1,21,3,DL,11433,"Detroit, MI",15304,"Tampa, FL",1200,1450,3,0,0,983
2015,1,21,3,DL,14635,"Fort Myers, FL",11433,"Detroit, MI",1559,1855,0,0,0,1084
2015,1,21,3,DL,12992,"Little Rock, AR",10397,"Atlanta, GA",600,836,0,0,0,453
2015,1,21,3,DL,14492,"Raleigh/Durham, NC",10397,"Atlanta, GA",710,857,0,0,0,356
2015,1,21,3,DL,14869,"Salt Lake City, UT",12889,"Las Vegas, NV",835,907,0,0,0,368
2015,1,21,3,DL,12339,"Indianapolis, IN",11433,"Detroit, MI",800,921,0,0,0,231
2015,1,21,3,DL,10397,"Atlanta, GA",10208,"Augusta, GA",1909,2001,18,1,0,143
2015,1,21,3,DL,10397,"Atlanta, GA",12266,"Houston, TX",1342,1501,0,0,0,689
2015,1,21,3,DL,12266,"Houston, TX",10397,"Atlanta, GA",1541,1843,0,0,0,689
2015,1,21,3,DL,11433,"Detroit, MI",12889,"Las Vegas, NV",1535,1716,4,0,0,1749
2015,1,21,3,DL,10397,"Atlanta, GA",15304,"Tampa, FL",1830,1955,5,0,0,406
2015,1,21,3,DL,14107,"Phoenix, AZ",13487,"Minneapolis, MN",800,1209,0,0,0,1276
2015,1,21,3,DL,11433,"Detroit, MI",13930,"Chicago, IL",1520,1555,76,1,0,235
2015,1,21,3,DL,13930,"Chicago, IL",11433,"Detroit, MI",1635,1905,67,1,0,235
2015,1,21,3,DL,10397,"Atlanta, GA",14100,"Philadelphia, PA",850,1049,0,0,0,666
